[::] Illuminance | temt6000_adc=16 | max44009_lx=31.000000
[::] Illuminance | temt6000_adc=14 | max44009_lx=30.000000
[::] Illuminance | temt6000_adc=15 | max44009_lx=30.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=30.000000
[::] Illuminance | temt6000_adc=17 | max44009_lx=30.000000
[::] Illuminance | temt6000_adc=14 | max44009_lx=27.500000
[::] Illuminance | temt6000_adc=16 | max44009_lx=27.000000
[::] Illuminance | temt6000_adc=17 | max44009_lx=27.500000
[::] Illuminance | temt6000_adc=13 | max44009_lx=27.000000
[::] Illuminance | temt6000_adc=16 | max44009_lx=28.000000
[::] Illuminance | temt6000_adc=10 | max44009_lx=27.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=27.000000
